"species","decimalLongitude","decimalLatitude","countryCode","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode"
"Spodoptera frugiperda",-88.930435,37.376226,"US",NA,4.40260217680005e-315,"Noctuidae","SPECIES",NA,2012,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-81.331219,40.963669,"US",NA,4.40258748328774e-315,"Noctuidae","SPECIES",3281,2012,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-81.739698,40.793772,"US",NA,4.40258081834218e-315,"Noctuidae","SPECIES",NA,2012,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-68.716698,18.6667,"DO",NA,4.38447070869614e-315,"Noctuidae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","ZSM"
"Spodoptera frugiperda",-78.6875,-0.02194,"EC",NA,4.38447012075802e-315,"Noctuidae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","ZSM"
"Spodoptera frugiperda",-64.116699,-30.383301,"AR",NA,4.38446997747898e-315,"Noctuidae","SPECIES",NA,1998,"PRESERVED_SPECIMEN","ZSM"
"Spodoptera frugiperda",-80.41,42.58,"CA",1,3.8001496743822e-315,"Noctuidae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","University of Alberta Museums (UAM)"
"Spodoptera frugiperda",-68.222,47.358,"CA",1,3.80014966944154e-315,"Noctuidae","SPECIES",NA,1998,"PRESERVED_SPECIMEN","University of Alberta Museums (UAM)"
"Spodoptera frugiperda",-68.29,47.373,"CA",1,3.79979294416393e-315,"Noctuidae","SPECIES",NA,1999,"PRESERVED_SPECIMEN","University of Alberta Museums (UAM)"
"Spodoptera frugiperda",-116.411,32.872,"US",1,3.79979293428262e-315,"Noctuidae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","University of Alberta Museums (UAM)"
"Spodoptera frugiperda",-94.765903,30.098231,"US",NA,2.18932699196385e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.640883,30.847983,"US",NA,2.1893252899077e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.413947,29.719337,"US",NA,2.18931917386907e-314,"Noctuidae","SPECIES",35,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.640656,30.847053,"US",NA,2.18931277423676e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.640672,30.847208,"US",NA,2.18930840768458e-314,"Noctuidae","SPECIES",NA,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-95.345238,32.383105,"US",NA,2.18930346011121e-314,"Noctuidae","SPECIES",4,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-98.445132,29.73474,"US",NA,2.18929809554642e-314,"Noctuidae","SPECIES",29458,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.571626,25.9968,"US",NA,2.18929005462804e-314,"Noctuidae","SPECIES",196,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.5819,30.247226,"US",NA,2.18928758825233e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.350173,27.67229,"US",NA,2.18928736197027e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.350167,27.67229,"US",NA,2.18927601575271e-314,"Noctuidae","SPECIES",1,2023,"HUMAN_OBSERVATION","iNaturalist"
"Spodoptera frugiperda",-97.547261,30.350054,"US",NA,2.18926613987452e-314,"Noctuidae","SPECIES",2,2023,"HUMAN_OBSERVATION","iNaturalist"
